URL,PrizeMoney,Rating,Gold,Silver,Bronze,TotalMatches,WinRate,BirthPlace
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2003_D118,2159375,17,6,2,2,71,0.1408450704225352,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K188,4023550,56,6,4,5,60,0.25,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H040,2681250,60,3,5,6,48,0.2916666666666667,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K009,1253563,68,2,0,4,12,0.5,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H246,2133150,33,2,6,5,54,0.2407407407407407,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K040,103125,34,0,0,0,11,0.0,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G261,2755032,44,5,1,4,56,0.1785714285714285,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G274,1037625,30,1,2,5,36,0.2222222222222222,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K251,864000,51,2,0,0,22,0.0909090909090909,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G068,1815325,37,3,2,5,50,0.2,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H026,2190600,28,2,8,4,50,0.28,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G273,762950,44,1,2,2,26,0.1923076923076923,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2003_D080,4916450,54,5,11,6,89,0.247191011235955,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H076,3000990,35,3,6,8,65,0.2615384615384615,"美國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H029,2601250,40,3,8,5,57,0.2807017543859649,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2003_D199,4769000,42,6,4,8,90,0.2,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E147,3305825,16,5,4,8,83,0.2048192771084337,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J255,2184825,62,4,2,0,30,0.2,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J001,2178125,66,3,4,3,41,0.2439024390243902,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E159,3480425,50,6,5,3,66,0.2121212121212121,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E172,1803265,8,3,3,3,60,0.15,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H210,1114215,32,2,1,1,36,0.1111111111111111,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J212,2266875,76,3,3,3,35,0.2571428571428571,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K023,4070325,51,4,9,6,57,0.3333333333333333,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K027,181250,40,0,0,2,11,0.1818181818181818,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E251,1490325,34,2,4,3,38,0.2368421052631578,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H048,1999275,19,4,3,2,56,0.1607142857142857,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J243,4593100,57,8,6,5,70,0.2714285714285714,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J179,1697500,42,3,1,2,35,0.1714285714285714,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H015,2948775,31,5,7,3,73,0.2054794520547945,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K081,298275,37,0,2,1,14,0.2142857142857142,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2002_C230,4612300,31,8,6,11,112,0.2232142857142857,"英國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G315,1104050,56,0,3,4,32,0.21875,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J297,4118125,43,3,11,6,60,0.3333333333333333,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J237,3645500,58,5,2,3,33,0.303030303030303,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H276,4681050,39,4,11,6,88,0.2386363636363636,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H096,1718550,73,2,2,4,26,0.3076923076923077,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K073,1238350,51,1,4,2,33,0.2121212121212121,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K300,2104075,23,3,3,3,56,0.1607142857142857,"英國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K386,415625,37,1,0,0,23,0.0434782608695652,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K347,4268500,75,5,3,2,36,0.2777777777777778,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H168,1289300,42,1,4,3,33,0.2424242424242424,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G233,1655100,45,4,0,2,32,0.1875,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G270,2934550,57,4,6,2,44,0.2727272727272727,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H092,1411100,59,3,2,0,21,0.238095238095238,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K178,1579500,78,1,3,2,21,0.2857142857142857,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H232,2773300,58,3,3,7,41,0.3170731707317073,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2003_D130,5210150,48,9,5,6,86,0.2325581395348837,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J162,2181275,37,2,3,2,41,0.1707317073170731,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K036,2475550,62,4,0,4,45,0.1777777777777777,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H058,2323750,73,3,3,1,42,0.1666666666666666,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E031,3977300,65,6,2,7,55,0.2727272727272727,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J340,641325,57,0,1,3,17,0.2352941176470588,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E183,3990825,53,5,3,7,64,0.234375,"德國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J226,4562050,66,2,9,6,54,0.3148148148148148,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2002_C099,5804000,73,6,6,11,59,0.3898305084745763,"英國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J289,5206875,101,4,4,4,35,0.3428571428571428,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E333,4219570,82,5,8,2,46,0.3260869565217391,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J338,1713000,90,1,1,0,14,0.1428571428571428,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G298,1931500,75,1,4,0,30,0.1666666666666666,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J061,3306500,24,3,5,4,67,0.1791044776119403,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E254,5459500,76,4,8,4,57,0.2807017543859649,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2003_D213,4661680,59,3,6,13,78,0.282051282051282,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H145,5386250,90,5,3,4,52,0.2307692307692307,"法國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H320,2844300,73,4,3,3,33,0.303030303030303,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G040,1643550,37,3,3,6,42,0.2857142857142857,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K006,520175,44,1,1,1,15,0.2,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K068,29100,16,0,0,0,10,0.0,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2003_D205,2663000,34,3,7,6,56,0.2857142857142857,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H274,722775,26,0,5,0,33,0.1515151515151515,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H036,1232425,20,2,2,4,46,0.1739130434782608,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G177,1844825,46,2,4,6,39,0.3076923076923077,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J263,1302275,26,4,1,0,31,0.1612903225806451,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G199,432225,30,1,1,1,19,0.1578947368421052,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G045,1498000,27,1,5,7,52,0.25,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K173,2347250,45,3,7,1,33,0.3333333333333333,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K285,255000,62,0,0,2,12,0.1666666666666666,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K358,5584375,82,4,4,5,44,0.2954545454545454,"澳洲"
